Baseline 100%T,,D4ACN5uMA_Before,,D4ACN5uMB_Before,,D4ACN5uMC_Before,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
599.9825439,0.036480535,599.9825439,-0.001657676,599.9825439,-0.001909906,599.9825439,-0.001340789
599.5009155,0.036497932,599.5009155,-0.001301613,599.5009155,-0.001744571,599.5009155,-0.00144266
598.9821777,0.036549151,598.9821777,-0.00155957,598.9821777,-0.001935575,598.9821777,-0.00123719
598.5003662,0.036518879,598.5003662,-0.001628123,598.5003662,-0.001971704,598.5003662,-0.001384244
598.0184937,0.036149397,598.0184937,-0.001511386,598.0184937,-0.001839336,598.0184937,-0.001580152
597.4995117,0.035729855,597.4995117,-0.001680368,597.4995117,-0.001920627,597.4995117,-0.001161708
597.0175781,0.035659458,597.0175781,-0.001460771,597.0175781,-0.001973147,597.0175781,-0.001411595
596.4984741,0.035709761,596.4984741,-0.001636272,596.4984741,-0.002301161,596.4984741,-0.001311472
596.0162964,0.035409231,596.0162964,-0.001542237,596.0162964,-0.001646433,596.0162964,-0.001062561
595.4970093,0.035655972,595.4970093,-0.001635034,595.4970093,-0.001800102,595.4970093,-0.001429811
595.0148926,0.035730109,595.0148926,-0.001923669,595.0148926,-0.002410015,595.0148926,-0.001701873
594.4954224,0.035473328,594.4954224,-0.001433681,594.4954224,-0.001707133,594.4954224,-0.001379754
594.0131226,0.035202831,594.0131226,-0.001422741,594.0131226,-0.001589489,594.0131226,-0.001055898
593.4935913,0.035111018,593.4935913,-0.001432236,593.4935913,-0.001495289,593.4935913,-0.001375729
593.0111084,0.035470773,593.0111084,-0.001574427,593.0111084,-0.001765351,593.0111084,-0.001284992
592.4914551,0.035550579,592.4914551,-0.001443433,592.4914551,-0.001942378,592.4914551,-0.001293303
592.0087891,0.035344809,592.0087891,-0.001206266,592.0087891,-0.001679543,592.0087891,-0.001277249
591.4890137,0.035550691,591.4890137,-0.001516338,591.4890137,-0.0018531,591.4890137,-0.001860678
591.0063477,0.035540324,591.0063477,-0.001637613,591.0063477,-0.001880937,591.0063477,-0.001891298
590.4863892,0.035523836,590.4863892,-0.001776797,590.4863892,-0.001978352,590.4863892,-0.001815724
590.00354,0.035021074,590.00354,-0.001272861,590.00354,-0.001585362,590.00354,-0.001231408
589.4834595,0.035292245,589.4834595,-0.00148822,589.4834595,-0.002043953,589.4834595,-0.001770507
589.0004883,0.03510591,589.0004883,-0.00165716,589.0004883,-0.001849904,589.0004883,-0.001298671
588.5175171,0.035028763,588.5175171,-0.001750862,588.5175171,-0.001948666,588.5175171,-0.001423722
587.9971924,0.034998346,587.9971924,-0.00136004,587.9971924,-0.001599341,587.9971924,-0.001533466
587.5140381,0.035156626,587.5140381,-0.001639109,587.5140381,-0.002004635,587.5140381,-0.001579379
586.9936523,0.034726996,586.9936523,-0.001495959,586.9936523,-0.001925369,586.9936523,-0.001687073
586.5103149,0.034801591,586.5103149,-0.001552141,586.5103149,-0.001865833,586.5103149,-0.001449574
