D4ACN5uMEx470nmA,,D4ACN5uMEx460nmA,,D4ACN5uMEx450nmA,,D4ACN5uMEx440nmA,,D4ACN5uMEx430nmA,,D4ACN5uMEx420nmA,,D4ACN5uMEx410nmA,,D4ACN5uMEx400nmA,,D4ACN5uMEx470nmB,,D4ACN5uMEx460nmB,,D4ACN5uMEx450nmB,,D4ACN5uMEx440nmB,,D4ACN5uMEx430nmB,,D4ACN5uMEx420nmB,,D4ACN5uMEx410nmB,,D4ACN5uMEx400nmB,,D4ACN5uMEx470nmC,,D4ACN5uMEx460nmC,,D4ACN5uMEx450nmC,,D4ACN5uMEx440nmC,,D4ACN5uMEx430nmC,,D4ACN5uMEx420nmC,,D4ACN5uMEx410nmC,,D4ACN5uMEx400nmC,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
480,10.61319351,470,23.91382027,460,35.44468307,450,26.26620865,440,10.8103714,430,2.87887907,420,1.480237961,410,1.030270934,480,10.65954399,470,23.95843315,460,35.12662506,450,26.64421463,440,10.96319199,430,2.921129465,420,1.400389671,410,1.01106739,480,10.58469772,470,23.98690987,460,35.00573349,450,26.33521843,440,10.82239151,430,2.917821169,420,1.391613364,410,0.982042611
481.0599976,10.69700718,471.0599976,24.89099121,461.0599976,38.53175354,451.0599976,29.4835701,441.0599976,12.18679905,431.0700073,3.121286392,421.0599976,1.476694226,411.0700073,1.139191031,481.0599976,10.8996706,471.0599976,25.05187225,461.0599976,38.07628632,451.0599976,29.49959946,441.0599976,12.54836178,431.0700073,3.181658745,421.0599976,1.410844803,411.0700073,1.109339237,481.0599976,10.69133186,471.0599976,24.95742035,461.0599976,38.31253815,451.0599976,29.35913849,441.0599976,12.24351215,431.0700073,3.161427021,421.0599976,1.522668958,411.0700073,1.053633332
481.9599915,11.10514545,471.9599915,26.34857559,461.9599915,41.57233429,451.9599915,33.26387024,441.9599915,14.10135746,432,3.592096329,421.9599915,1.340743899,412,1.155434012,481.9599915,11.05719757,471.9599915,26.29682159,461.9599915,41.39878845,451.9599915,32.5841713,441.9599915,14.08253384,432,3.420240879,421.9599915,1.477408171,412,0.961652398,481.9599915,10.90200424,471.9599915,26.22748566,461.9599915,41.21364975,451.9599915,32.48331833,441.9599915,13.68473244,432,3.614106178,421.9599915,1.46506989,412,1.201766253
483.0299988,11.44579029,473.0299988,27.67803764,463.0299988,45.65515137,453.0299988,36.58286285,443.0299988,16.07642937,433.0700073,4.216323853,423.0299988,1.485549927,413.0700073,1.041937947,483.0299988,11.2032938,473.0299988,27.73677063,463.0299988,45.27421188,453.0299988,36.78471756,443.0299988,16.20701981,433.0700073,4.119161606,423.0299988,1.529270887,413.0700073,1.171452999,483.0299988,11.37636089,473.0299988,27.49058914,463.0299988,44.73619843,453.0299988,36.23632813,443.0299988,16.02807236,433.0700073,4.177000999,423.0299988,1.4529984,413.0700073,1.218832016
483.9299927,11.9024992,473.9299927,28.9694252,463.9299927,48.72304535,453.9299927,40.39709854,443.9299927,18.52029991,434,4.617050648,423.9299927,1.516111612,414,1.051057339,483.9299927,11.67431068,473.9299927,29.02278709,463.9299927,48.57917023,453.9299927,40.40568924,443.9299927,18.43889999,434,4.787016869,423.9299927,1.50801897,414,1.033653498,483.9299927,11.57475471,473.9299927,29.03042603,463.9299927,48.20426941,453.9299927,39.98080444,443.9299927,18.01260948,434,4.717323303,423.9299927,1.689532399,414,1.102890849
485,11.74681568,475,30.51276398,465,52.52757263,455,45.33958435,445,21.42821503,435.0700073,5.628626347,425,1.738212228,415.0700073,1.167852163,485,11.94390678,475,30.359375,465,52.10487747,455,45.59062958,445,21.31855202,435.0700073,5.836523533,425,1.808671236,415.0700073,1.163654685,485,11.95450306,475,30.11242294,465,52.12693405,455,45.04361343,445,21.2528553,435.0700073,5.622841358,425,1.692721844,415.0700073,1.014646888
486.0599976,11.95399761,476.0599976,31.47606468,466.0599976,56.18454742,456.0599976,50.71088791,446.0599976,24.18582344,436,6.401370525,426.0599976,1.875453353,416,1.129456878,486.0599976,12.22887039,476.0599976,31.49381256,466.0599976,55.60268021,456.0599976,50.32220459,446.0599976,24.47825813,436,6.435573101,426.0599976,1.923209071,416,1.194693089,486.0599976,11.92828274,476.0599976,31.20592117,466.0599976,55.45590591,456.0599976,50.08475876,446.0599976,24.99489975,436,6.493683815,426.0599976,1.776425719,416,1.045679688
486.9599915,12.36214924,476.9599915,32.58903503,466.9599915,59.50802612,456.9599915,55.57383347,446.9599915,27.32196236,437.0700073,7.427674294,426.9599915,2.015380383,417.0700073,1.219520807,486.9599915,12.34328747,476.9599915,32.84890366,466.9599915,59.42149734,456.9599915,55.95428467,446.9599915,27.54049301,437.0700073,7.684017181,426.9599915,2.030002594,417.0700073,1.204144478,486.9599915,12.50130939,476.9599915,32.67766953,466.9599915,58.89904022,456.9599915,55.5571785,446.9599915,27.1379776,437.0700073,7.395679474,426.9599915,2.066429138,417.0700073,1.170726418
488.0299988,12.61428452,478.0299988,33.92242432,468.0299988,63.23054504,458.0299988,61.33691788,448.0299988,31.72076035,438,8.58449173,428.0299988,2.132775784,418,1.174198747,488.0299988,12.77756882,478.0299988,33.9833374,468.0299988,63.16545486,458.0299988,61.4562149,448.0299988,31.6087532,438,8.773417473,428.0299988,2.261614323,418,1.095928907,488.0299988,12.81071758,478.0299988,33.92841721,468.0299988,63.11281586,458.0299988,61.23550034,448.0299988,31.21051598,438,8.604974747,428.0299988,2.240005732,418,1.225693822
488.9299927,12.99720955,478.9299927,35.19979858,468.9299927,67.2594986,458.9299927,66.7459259,448.9299927,35.55273819,439.0700073,10.10273457,428.9299927,2.618525028,419.0700073,1.302697659,488.9299927,13.01231003,478.9299927,35.4665947,468.9299927,67.44029999,458.9299927,66.756073,448.9299927,35.48416138,439.0700073,10.1336031,428.9299927,2.514380217,419.0700073,1.184809208,488.9299927,12.9926424,478.9299927,34.94848633,468.9299927,67.31687927,458.9299927,66.64854431,448.9299927,35.29189682,439.0700073,10.29924202,428.9299927,2.611769199,419.0700073,1.208753109
490,13.18608189,480,36.481987,470,71.39264679,460,73.32134247,450,40.29019547,440,11.77947235,430,2.79224515,420,1.293515563,490,13.21673679,480,36.33578873,470,70.98395538,460,73.51394653,450,40.73534393,440,11.87204838,430,2.919308424,420,1.375322819,490,13.02857113,480,36.26919556,470,71.33181,460,72.81745148,450,40.11116028,440,11.83583355,430,2.814335108,420,1.35265696
491.0599976,13.40766335,481.0599976,37.94837189,471.0599976,75.43218231,461.0599976,79.99430847,451.0599976,46.01045609,441.0599976,13.51326561,431.0700073,3.212067127,421.0599976,1.395879984,491.0599976,13.55949116,481.0599976,37.79639053,471.0599976,75.49337769,461.0599976,80.24730682,451.0599976,45.95574188,441.0599976,13.92079639,431.0700073,3.320873022,421.0599976,1.284760594,491.0599976,13.24959946,481.0599976,37.59435654,471.0599976,75.12979889,461.0599976,79.71738434,451.0599976,45.28865051,441.0599976,13.84705448,431.0700073,3.338442564,421.0599976,1.204944491
491.9599915,13.46456718,481.9599915,38.95229721,471.9599915,78.9205246,461.9599915,86.82544708,451.9599915,50.64562607,441.9599915,15.2920332,432,3.747694492,421.9599915,1.303689122,491.9599915,13.57126808,481.9599915,38.88297272,471.9599915,78.73514557,461.9599915,86.70948792,451.9599915,50.9971199,441.9599915,15.32912827,432,3.629929781,421.9599915,1.462276101,491.9599915,13.46122837,481.9599915,38.85326385,471.9599915,78.79221344,461.9599915,85.91928101,451.9599915,50.41839218,441.9599915,15.34618282,432,3.659796476,421.9599915,1.442751288
493.0299988,13.88871861,483.0299988,40.38774109,473.0299988,83.32178497,463.0299988,94.77829742,453.0299988,56.93706131,443.0299988,17.97948647,433.0700073,4.18619442,423.0299988,1.502007365,493.0299988,13.51579952,483.0299988,40.42422867,473.0299988,83.63829041,463.0299988,94.11697388,453.0299988,56.83236694,443.0299988,17.80684662,433.0700073,4.158470154,423.0299988,1.611411572,493.0299988,13.62040806,483.0299988,40.02021027,473.0299988,82.91184235,463.0299988,93.34552765,453.0299988,57.00943756,443.0299988,17.57433128,433.0700073,4.176659584,423.0299988,1.612802744
493.9299927,13.47558594,483.9299927,41.00767517,473.9299927,87.28549957,463.9299927,100.6596527,453.9299927,62.98260498,443.9299927,20.11213303,434,4.923268795,423.9299927,1.701182365,493.9299927,13.84509468,483.9299927,41.34186172,473.9299927,87.04586029,463.9299927,101.0635605,453.9299927,62.74131775,443.9299927,20.31630898,434,4.820948601,423.9299927,1.489875197,493.9299927,13.88066864,483.9299927,40.8059082,473.9299927,86.65796661,463.9299927,100.5217209,453.9299927,62.26766968,443.9299927,20.30112839,434,5.098950386,423.9299927,1.701711297
495,14.06384277,485,41.92160416,475,91.12559509,465,108.8264008,455,69.94767761,445,23.86528778,435.0700073,5.539284706,425,1.798573852,495,14.08397865,485,42.22118759,475,90.83487701,465,109.4538803,455,70.9406662,445,23.96827507,435.0700073,5.739491463,425,1.859437704,495,13.85093307,485,42.05255127,475,90.10158539,465,108.2697067,455,70.06614685,445,23.55168724,435.0700073,5.780747414,425,1.67078054
496.0599976,14.35693932,486.0599976,43.15489197,476.0599976,94.66448212,466.0599976,116.3264694,456.0599976,77.82198334,446.0599976,26.90373993,436,6.375083447,426.0599976,1.862683535,496.0599976,14.08811474,486.0599976,43.46453476,476.0599976,95.19320679,466.0599976,117.2727814,456.0599976,78.45240784,446.0599976,27.44864845,436,6.447520256,426.0599976,2.086981058,496.0599976,13.92709064,486.0599976,42.78858566,476.0599976,94.471138,466.0599976,115.7642365,456.0599976,77.98526001,446.0599976,27.05410576,436,6.46354866,426.0599976,1.715491295
496.9599915,14.38298702,486.9599915,43.9730072,476.9599915,98.23889923,466.9599915,124.2880325,456.9599915,86.26172638,446.9599915,30.25163651,437.0700073,7.367424488,426.9599915,2.287828684,496.9599915,14.49203396,486.9599915,43.76204681,476.9599915,98.39648438,466.9599915,124.6068878,456.9599915,87.02493286,446.9599915,30.31013298,437.0700073,7.611936092,426.9599915,2.010569334,496.9599915,14.27477264,486.9599915,43.8388176,476.9599915,98.41339874,466.9599915,124.0543747,456.9599915,86.13922882,446.9599915,29.69928169,437.0700073,7.392639637,426.9599915,2.098490953
498.0299988,14.30537796,488.0299988,44.94532013,478.0299988,102.5742569,468.0299988,132.2849579,458.0299988,95.30345917,448.0299988,34.39482117,438,8.694833755,428.0299988,2.311450243,498.0299988,14.3604269,488.0299988,44.88315582,478.0299988,101.9589615,468.0299988,133.250061,458.0299988,95.72522736,448.0299988,34.91482162,438,8.755739212,428.0299988,2.194540739,498.0299988,14.16467571,488.0299988,44.84088135,478.0299988,101.5622787,468.0299988,131.9864807,458.0299988,95.3092041,448.0299988,34.19385147,438,8.781583786,428.0299988,2.396872282
498.9299927,14.29586029,488.9299927,45.30825806,478.9299927,105.5351105,468.9299927,140.5330811,458.9299927,102.75383,448.9299927,38.90943527,439.0700073,10.16408157,428.9299927,2.586726189,498.9299927,14.06189537,488.9299927,45.76203537,478.9299927,106.3172302,468.9299927,140.4730988,458.9299927,103.7105255,448.9299927,38.80256271,439.0700073,10.14872837,428.9299927,2.290156364,498.9299927,14.34260941,488.9299927,45.84525299,478.9299927,105.5285187,468.9299927,139.7926331,458.9299927,102.6489182,448.9299927,38.54566193,439.0700073,10.38114262,428.9299927,2.491019964
