Wavelength / nm,Conversion / %,Pos Error,Neg Error,,,,,,,,,,,,,,,,
340,11.38938273,3.00819689,1.892070212,,,,,,,,,,,,,,,,
350,13.10861503,2.653170033,2.877812983,,,,,,,,,,,,,,,,
360,16.5393889,1.580092846,1.302514913,,,,,,,,,,,,,,,,
380,31.80232639,2.783187398,3.284299589,,,,,,,,,,,,,,,,
400,48.12338244,3.299818826,4.319985686,,,,,,,,,,,,,,,,
410,60.01069316,4.166148989,2.913517384,,,,,,,,,,,,,,,,
420,68.82819723,4.564601407,5.232357255,,,,,,,,,,,,,,,,
440,72.84698553,7.205582938,5.699387429,,,,,,,,,,,,,,,,
450,70.28260926,6.932173205,5.812761186,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
