Wavelength / nm,Molar Absorptivity / M-1 cm-1
250.0228,25038.83482
250.2378,24917.24649
250.4528,24764.52231
250.6677,24624.40924
250.8827,24501.00934
251.0976,24356.84596
251.3125,24250.54122
251.5274,24113.49035
251.7423,23973.03629
251.9572,23866.75316
252.172,23758.96952
252.3869,23494.71667
252.6017,23214.57134
252.8166,23019.72191
253.0314,22767.50085
253.2462,22589.3171
253.461,22411.15394
253.6758,22225.23834
253.8906,22053.42602
254.1053,21857.25879
254.3201,21674.77881
254.5348,21507.37063
254.7496,21343.52676
254.9643,21200.0658
255.179,21075.53166
255.3937,20967.24299
255.6083,20833.39242
255.823,20748.79264
256.0377,20685.54311
256.2523,20585.2631
256.467,20505.25
256.6816,20447.1569
256.8962,20368.74201
257.1108,20297.30307
257.3254,20267.78511
257.54,20210.55727
257.7545,20169.77082
257.9691,20128.8786
258.1836,20111.45524
258.3981,20148.91741
258.6127,20147.08539
258.8272,20181.64073
259.0417,20218.69265
259.2561,20255.12341
259.4706,20323.42788
259.6851,20361.04071
259.8995,20418.9282
260.114,20456.97115
260.3284,20502.16101
260.5428,20569.29692
260.7572,20569.28195
260.9716,20597.23357
261.186,20637.15233
261.4003,20643.89799
261.6147,20677.45416
261.829,20717.16763
262.0433,20738.67005
262.2577,20776.41453
262.472,20816.76496
262.6863,20817.52118
262.9005,20829.13137
263.1148,20782.21011
263.3291,20797.40659
263.5433,20779.0219
263.7576,20694.92276
263.9718,20668.00784
264.186,20615.8047
264.4002,20590.1847
264.6144,20536.17656
264.8286,20530.5129
265.0427,20581.01019
265.2569,20570.92455
265.471,20650.4851
265.6851,20750.88929
265.8993,20838.59928
266.1134,20972.79792
266.3275,21094.93571
266.5415,21191.67573
266.7556,21306.50479
266.9697,21418.38373
267.1837,21525.8885
267.3978,21638.84134
267.6118,21718.02588
267.8258,21766.78517
268.0398,21846.49114
268.2538,21856.8322
268.4677,21901.52821
268.6817,21887.66567
268.8957,21899.95668
269.1096,21893.43455
269.3235,21875.37703
269.5374,21880.82802
269.7514,21798.54934
269.9652,21703.82855
270.1791,21585.29089
270.393,21477.43288
270.6068,21364.56857
270.8207,21247.2156
271.0345,21145.05074
271.2483,21018.6461
271.4622,20925.55173
271.676,20820.79777
271.8897,20766.47313
272.1035,20753.88997
272.3173,20716.79659
272.531,20749.05089
272.7448,20761.58798
272.9585,20840.7438
273.1722,20904.88764
273.3859,20922.1407
273.5996,20940.04634
273.8133,20982.96371
274.0269,21075.94683
274.2406,21153.00085
274.4542,21244.34072
274.6679,21303.03196
274.8815,21391.99942
275.0951,21478.83988
275.3087,21573.46122
275.5223,21646.94928
275.7358,21725.5625
275.9494,21837.59809
276.1629,21901.26665
276.3765,21958.93003
276.59,22024.23556
276.8035,22069.43979
277.017,22126.22447
277.2305,22160.68716
277.444,22185.02587
277.6574,22222.2063
277.8709,22293.95262
278.0843,22307.36182
278.2978,22318.34156
278.5112,22336.06166
278.7246,22320.78592
278.938,22335.76684
279.1513,22315.12084
279.3647,22288.03424
279.5781,22256.44404
279.7914,22240.48411
280.0047,22200.59468
280.2181,22145.52198
280.4314,22048.31658
280.6447,22001.29876
280.8579,21973.27662
281.0712,21909.7236
281.2845,21851.9373
281.4977,21770.46145
281.711,21714.40817
281.9242,21634.0388
282.1374,21508.12498
282.3506,21381.11643
282.5638,21223.01714
282.7769,21074.2241
282.9901,20948.3769
283.2033,20801.30842
283.4164,20617.10894
283.6295,20460.5848
283.8426,20260.73682
284.0557,20087.11884
284.2688,19935.04558
284.4819,19749.87063
284.695,19597.11307
284.908,19403.28674
285.1211,19164.22746
285.3341,18928.7658
285.5471,18699.97245
285.7601,18443.891
285.9731,18198.21239
286.1861,17969.25853
286.3991,17753.75492
286.612,17534.28932
286.825,17291.6073
287.0379,17069.33434
287.2508,16856.54623
287.4637,16594.88879
287.6766,16375.93744
287.8895,16134.6869
288.1024,15940.84437
288.3152,15716.63762
288.5281,15460.58896
288.7409,15248.7025
288.9538,15011.74681
289.1666,14794.6072
289.3794,14599.6256
289.5922,14423.32942
289.8049,14220.6782
290.0177,14038.85233
290.2304,13848.94239
290.4432,13658.20358
290.6559,13503.23988
290.8686,13338.87655
291.0813,13209.26224
291.294,13036.35013
291.5067,12849.83647
291.7194,12730.26071
291.932,12590.7663
292.1447,12475.55882
292.3573,12346.8693
292.5699,12241.78193
292.7825,12116.589
292.9951,12027.1736
293.2077,11939.61277
293.4203,11835.12348
293.6328,11715.29856
293.8454,11598.09415
294.0579,11505.8043
294.2704,11454.88627
294.4829,11349.13877
294.6954,11305.67773
294.9079,11231.6062
295.1204,11184.06504
295.3328,11097.04767
295.5453,11041.55168
295.7577,11002.22504
295.9701,10913.00842
296.1825,10875.074
296.3949,10824.31096
296.6073,10715.25872
296.8197,10650.93706
297.0321,10600.80056
297.2444,10531.31355
297.4567,10493.1063
297.6691,10460.9247
297.8814,10441.12395
298.0937,10422.10684
298.306,10418.76637
298.5182,10374.24572
298.7305,10360.10214
298.9428,10312.72665
299.155,10265.40343
299.3672,10228.35183
299.5794,10198.16517
299.7916,10210.54355
300.0038,10219.24838
300.216,10220.40941
300.4282,10227.19127
300.6403,10215.1339
300.8525,10278.15049
301.0646,10306.70766
301.2767,10318.46769
301.4888,10349.889
301.7009,10350.83878
301.913,10378.16063
302.125,10398.67753
302.3371,10429.60697
302.5491,10439.60434
302.7612,10469.48324
302.9732,10511.40651
303.1852,10529.51193
303.3972,10557.73117
303.6092,10583.03944
303.8211,10654.83119
304.0331,10689.83287
304.245,10710.44458
304.457,10791.35965
304.6689,10794.11645
304.8808,10835.78736
305.0927,10862.37827
305.3046,10881.26428
305.5164,10953.13771
305.7283,10960.01173
305.9401,11010.58139
306.152,11020.17158
306.3638,11042.59833
306.5756,11101.21749
306.7874,11135.62986
306.9992,11160.11237
307.2109,11186.04749
307.4227,11226.94169
307.6344,11276.21158
307.8462,11339.46128
308.0579,11379.26946
308.2696,11437.17716
308.4813,11465.67226
308.693,11480.60836
308.9046,11555.13362
309.1163,11620.54703
309.328,11673.71648
309.5396,11770.43786
309.7512,11827.88524
309.9628,11898.28763
310.1744,11958.70138
310.386,12014.65216
310.5976,12112.85301
310.8091,12138.36937
311.0207,12173.99135
311.2322,12244.01806
311.4437,12325.14883
311.6552,12403.81907
311.8667,12463.50977
312.0782,12505.62231
312.2897,12554.72633
312.5012,12589.70631
312.7126,12652.2247
312.924,12709.1894
313.1355,12763.97064
313.3469,12833.66023
313.5583,12889.84483
313.7696,12909.88841
313.981,12970.55222
314.1924,13027.10183
314.4037,13072.73458
314.6151,13129.59018
314.8264,13152.76593
315.0377,13235.48051
315.249,13309.00278
315.4603,13369.83307
315.6716,13430.28741
315.8828,13465.05267
316.0941,13536.19184
316.3053,13597.24696
316.5165,13647.77232
316.7277,13714.52086
316.9389,13777.12404
317.1501,13811.98595
317.3613,13875.29546
317.5724,13918.37655
317.7836,13967.1921
317.9947,14040.25961
318.2058,14071.8451
318.417,14162.7567
318.6281,14250.30016
318.8391,14315.6407
319.0502,14385.68114
319.2613,14441.95486
319.4723,14541.06572
319.6834,14610.91288
319.8944,14637.99122
320.1054,14718.78644
320.3164,14776.39678
320.5274,14841.62119
320.7383,14916.91577
320.9493,14971.26253
321.1602,15096.24075
321.3712,15184.16809
3.22E+02,15263.411
321.793,15330.45393
322.0039,15386.56532
322.2148,15439.48119
322.4257,15525.40932
322.6365,15530.37581
322.8474,15560.91193
323.0582,15643.12769
323.269,15706.99615
323.4798,15747.67028
323.6906,15767.55147
323.9014,15835.29051
324.1122,15933.55244
324.3229,15982.68028
324.5337,16059.25279
324.7444,16100.65484
