Wavelength / nm,Absorbance
250,0.4546
251,0.4078
252,0.3778
253,0.3613
254,0.3559
255,0.3568
256,0.3597
257,0.3602
258,0.3596
259,0.3592
260,0.3637
261,0.3769
262,0.4015
263,0.4301
264,0.4685
265,0.5118
266,0.5471
267,0.566
268,0.5698
269,0.5516
270,0.5236
271,0.51
272,0.5194
273,0.5478
274,0.5896
275,0.6541
276,0.7459
277,0.8345
278,0.8669
279,0.8178
280,0.7123
281,0.6004
282,0.5079
283,0.438
284,0.3871
285,0.3492
286,0.3214
287,0.2986
288,0.2815
289,0.2684
290,0.2588
291,0.25
292,0.2439
293,0.2387
294,0.2348
295,0.2323
296,0.2314
297,0.2324
298,0.2354
299,0.2398
300,0.2459
301,0.2536
302,0.261
303,0.2679
304,0.2744
305,0.2809
306,0.2875
307,0.2941
308,0.3006
309,0.3091
310,0.3193
311,0.3329
312,0.3494
313,0.3686
314,0.3877
315,0.4049
316,0.4183
317,0.4267
318,0.4296
319,0.4285
320,0.4253
321,0.4237
322,0.4254
323,0.4321
324,0.4451
325,0.4657
326,0.4943
327,0.5341
328,0.5789
329,0.6235
330,0.6578
331,0.6744
332,0.6685
333,0.6457
334,0.6083
335,0.5687
336,0.5303
337,0.4928
338,0.4624
339,0.4428
340,0.4359
341,0.4402
342,0.4501
343,0.4677
344,0.498
345,0.5384
346,0.5761
347,0.6036
348,0.6134
349,0.6081
350,0.5866
351,0.5475
352,0.4971
353,0.4404
354,0.384
355,0.3362
356,0.2993
357,0.2715
358,0.244
359,0.214
360,0.1854
361,0.1604
362,0.1379
363,0.1171
364,0.0964
365,0.0807
366,0.0699
367,0.0608
368,0.052
369,0.0452
370,0.0391
371,0.0343
372,0.0291
373,0.0248
374,0.0232
375,0.0231
376,0.0252
377,0.0278
378,0.0273
379,0.0244
380,0.0206
381,0.0175
382,0.0152
383,0.0135
384,0.0126
385,0.0115
386,0.011
387,0.011
388,0.0103
389,0.0103
390,0.0103
391,0.0104
392,0.01
393,0.0095
394,0.0093
395,0.0094
396,0.0094
397,0.009
398,0.009
399,0.0086
400,0.0087
401,0.0085
402,0.0084
403,0.008
404,0.0081
405,0.008
406,0.0079
407,0.0078
408,0.0078
409,0.0076
410,0.0071
411,0.0074
412,0.0071
413,0.0069
414,0.007
415,0.0071
416,0.007
417,0.0069
418,0.0071
419,0.007
420,0.0066
421,0.0068
422,0.0069
423,0.0065
424,0.0067
425,0.0067
426,0.0066
427,0.0063
428,0.0061
429,0.0059
430,0.006
431,0.006
432,0.0059
433,0.0059
434,0.0056
435,0.0056
436,0.0052
437,0.0054
438,0.0051
439,0.0051
440,0.0051
441,0.0052
442,0.0054
443,0.005
444,0.0048
445,0.0048
446,0.0049
447,0.0049
448,0.0048
449,0.0046
450,0.0044
451,0.0045
452,0.0046
453,0.0044
454,0.0044
455,0.0044
456,0.0044
457,0.0045
458,0.0044
459,0.004
460,0.004
461,0.0038
462,0.0036
463,0.0036
464,0.0036
465,0.0036
466,0.0033
467,0.0035
468,0.0034
469,0.0033
470,0.0033
471,0.0031
472,0.003
473,0.0031
474,0.0032
475,0.0033
476,0.0032
477,0.003
478,0.0035
479,0.0032
480,0.0033
481,0.0034
482,0.0039
483,0.0037
484,0.0036
485,0.0036
486,0.0038
487,0.0038
488,0.0036
489,0.0039
490,0.0038
491,0.0037
492,0.0038
493,0.0036
494,0.0035
495,0.0035
496,0.0036
497,0.0037
498,0.0036
499,0.0035
500,0.0035
501,0.0034
502,0.0035
503,0.0035
504,0.0035
505,0.0034
506,0.0035
507,0.0034
508,0.0033
509,0.0032
510,0.0032
511,0.003
512,0.003
513,0.003
514,0.0028
515,0.003
516,0.0027
517,0.0028
518,0.0028
519,0.0028
520,0.0027
521,0.0026
522,0.003
523,0.0027
524,0.0028
525,0.0024
526,0.0026
527,0.0029
528,0.0024
529,0.0025
530,0.0023
531,0.0023
532,0.0023
533,0.0025
534,0.0023
535,0.002
536,0.0021
537,0.0017
538,0.0015
539,0.0014
540,0.0016
541,0.0015
542,0.0013
543,0.0012
544,0.0012
545,0.0011
546,0.0011
547,0.001
548,0.0012
549,0.001
550,0.001
551,0.0007
552,0.001
553,0.0007
554,0.0008
555,0.0005
556,0.0005
557,0.0005
558,0.0006
559,0.0002
560,0.0005
561,0.0004
562,0.0003
563,0.0001
564,-0.0001
565,-0.0004
566,-0.0004
567,-0.0002
568,-0.0003
569,-0.0003
570,-0.0006
571,-0.0004
572,-0.0005
573,-0.0002
574,-0.0003
575,-0.0001
576,0
577,-0.0002
578,-0.0002
579,0
580,0.0001
581,0.0002
582,0.0003
583,0.0001
584,0.0004
585,0.0002
586,0.0002
587,0.0002
588,0.0004
589,0.0004
590,0.0004
591,0.0003
592,0.0004
593,0.0006
594,0.0004
595,0.0008
596,0.0004
597,0.0006
598,0.0003
599,0.0004
600,0.0005
